bear_symbol	bearGeneID	human_symbol	humanGeneID	blastType
A1BG	gene-A1BG	A1BG	gene-A1BG	RBB
A1CF	gene-A1CF	A1CF	gene-A1CF	RBB
A2ML1	gene-A2ML1	A2ML1	gene-A2ML1	RBB
A3GALT2	gene-A3GALT2	A3GALT2	gene-A3GALT2	RBB
A4GALT	gene-A4GALT	A4GALT	gene-A4GALT	RBB
A4GNT	gene-A4GNT	A4GNT	gene-A4GNT	RBB
AACS	gene-AACS	AACS	gene-AACS	RBB
AADAC	gene-AADAC	AADAC	gene-AADAC	RBB
AADACL2	gene-AADACL2	AADACL2	gene-AADACL2	RBB
AADACL3	gene-AADACL3	AADACL3	gene-AADACL3	RBB
AADACL4	gene-AADACL4	AADACL4	gene-AADACL4	RBB
AADAT	gene-AADAT	AADAT	gene-AADAT	RBB
AAGAB	gene-AAGAB	AAGAB	gene-AAGAB	RBB
AAK1	gene-AAK1	AAK1	gene-AAK1	RBB
AAMDC	gene-AAMDC	AAMDC	gene-AAMDC	RBB
AAMP	gene-AAMP	AAMP	gene-AAMP	RBB
AANAT	gene-AANAT	AANAT	gene-AANAT	RBB
AAR2	gene-AAR2	AAR2	gene-AAR2	RBB
AARS1	gene-AARS1	AARS1	gene-AARS1	RBB
AARS2	gene-AARS2	AARS2	gene-AARS2	RBB
AARSD1	gene-AARSD1	AARSD1	gene-AARSD1	RBB
AASDH	gene-AASDH	AASDH	gene-AASDH	RBB
AASDHPPT	gene-AASDHPPT	AASDHPPT	gene-AASDHPPT	RBB
AASS	gene-AASS	AASS	gene-AASS	RBB
AATF	gene-AATF	AATF	gene-AATF	RBB
AATK	gene-AATK	AATK	gene-AATK	RBB
ABAT	gene-ABAT	ABAT	gene-ABAT	RBB
ABCA12	gene-ABCA12	ABCA12	gene-ABCA12	RBB
ABCA13	gene-ABCA13	ABCA13	gene-ABCA13	RBB
ABCA2	gene-ABCA2	ABCA2	gene-ABCA2	RBB
ABCA3	gene-ABCA3	ABCA3	gene-ABCA3	RBB
ABCA4	gene-ABCA4	ABCA4	gene-ABCA4	RBB
ABCA5	gene-ABCA5	ABCA5	gene-ABCA5	RBB
ABCA6	gene-ABCA6	ABCA6	gene-ABCA6	RBB
ABCA7	gene-ABCA7	ABCA7	gene-ABCA7	RBB
ABCA9	gene-ABCA9	ABCA9	gene-ABCA9	RBB
ABCB1	gene-ABCB1	ABCB1	gene-ABCB1	RBB
ABCB10	gene-ABCB10	ABCB10	gene-ABCB10	RBB
ABCB11	gene-ABCB11	ABCB11	gene-ABCB11	RBB
ABCB4	gene-ABCB4	ABCB4	gene-ABCB4	RBB
ABCB5	gene-ABCB5	ABCB5	gene-ABCB5	RBB
ABCB6	gene-ABCB6	ABCB6	gene-ABCB6	RBB
ABCB7	gene-ABCB7	ABCB7	gene-ABCB7	RBB
ABCB8	gene-ABCB8	ABCB8	gene-ABCB8	RBB
ABCB9	gene-ABCB9	ABCB9	gene-ABCB9	RBB
ABCC1	gene-ABCC1	ABCC1	gene-ABCC1	RBB
ABCC10	gene-ABCC10	ABCC10	gene-ABCC10	RBB
ABCC11	gene-ABCC11	ABCC11	gene-ABCC11	RBB
ABCC12	gene-ABCC12	ABCC12	gene-ABCC12	RBB
ABCC2	gene-ABCC2	ABCC2	gene-ABCC2	RBB
ABCC3	gene-ABCC3	ABCC3	gene-ABCC3	RBB
ABCC4	gene-ABCC4	ABCC4	gene-ABCC4	RBB
ABCC5	gene-ABCC5	ABCC5	gene-ABCC5	RBB
ABCC6	gene-ABCC6	ABCC6	gene-ABCC6	RBB
ABCC8	gene-ABCC8	ABCC8	gene-ABCC8	RBB
