Geneid,Length
125281280:gene-LOC125281280:LOC125281280,384
130542978:gene-LOC130542978:LOC130542978,384
113250141:gene-LOC113250141:LOC113250141,384
113246269:gene-LOC113246269:LOC113246269,6202
130542977:gene-LOC130542977:LOC130542977,3196
130542005:gene-LOC130542005:LOC130542005,1289
130542001:gene-LOC130542001:LOC130542001,490
130542004:gene-LOC130542004:LOC130542004,1289
130542006:gene-LOC130542006:LOC130542006,3487
113261034:gene-LRFN2:LRFN2,2379
113261382:gene-LOC113261382:LOC113261382,104
130542003:gene-LOC130542003:LOC130542003,492
113261324:gene-UNC5CL:UNC5CL,3503
113261031:gene-TSPO2:TSPO2,578
113261323:gene-APOBEC2:APOBEC2,1278
113261321:gene-OARD1:OARD1,1631
113261320:gene-NFYA:NFYA,5901
113261044:gene-LOC113261044:LOC113261044,4731
113261319:gene-TREML1:TREML1,1507
113261318:gene-TREM2:TREM2,1097
113261316:gene-LOC113261316:LOC113261316,4628
113261315:gene-TREML2:TREML2,2997
113261313:gene-TREM1:TREM1,1025
113261030:gene-LOC113261030:LOC113261030,618
113261043:gene-LOC113261043:LOC113261043,750
113261312:gene-FOXP4:FOXP4,5625
113261028:gene-MDFI:MDFI,827
113261311:gene-TFEB:TFEB,2588
113261042:gene-PGC:PGC,1262
113261310:gene-FRS3:FRS3,2435
113261309:gene-PRICKLE4:PRICKLE4,2686
113261308:gene-TOMM6:TOMM6,2999
113261307:gene-USP49:USP49,9198
113261305:gene-MED20:MED20,3240
113261304:gene-BYSL:BYSL,3206
113261302:gene-CCND3:CCND3,2377
113261375:gene-LOC113261375:LOC113261375,107
113261300:gene-TAF8:TAF8,2695
113261298:gene-CUNH6orf132:CUNH6orf132,6018
123001469:gene-CIMIP3:CIMIP3,384
113261041:gene-GUCA1A:GUCA1A,615
113261027:gene-GUCA1B:GUCA1B,1637
113261297:gene-MRPS10:MRPS10,2523
113261295:gene-TRERF1:TRERF1,6990
113261293:gene-UBR2:UBR2,7823
113261294:gene-PRPH2:PRPH2,3343
113261291:gene-TBCC:TBCC,6438
113261290:gene-BICRAL:BICRAL,8941
113261288:gene-RPL7L1:RPL7L1,2945
113261287:gene-PTCRA:PTCRA,1953
113261285:gene-CNPY3:CNPY3,1352
113261284:gene-GNMT:GNMT,1111
113261283:gene-PEX6:PEX6,3332
113261281:gene-PPP2R5D:PPP2R5D,2988
113261282:gene-MEA1:MEA1,1445
113261279:gene-KLHDC3:KLHDC3,4008
113261276:gene-CUL7:CUL7,5556
113261278:gene-MRPL2:MRPL2,1040
113261277:gene-KLC4:KLC4,2940
113261275:gene-PTK7:PTK7,4224
113261274:gene-SRF:SRF,4447
113261272:gene-CUL9:CUL9,7827
113261273:gene-DNPH1:DNPH1,669
113261270:gene-TTBK1:TTBK1,4012
113261268:gene-SLC22A7:SLC22A7,2574
113261269:gene-CRIP3:CRIP3,11871
113261267:gene-ZNF318:ZNF318,10873
123001488:gene-LOC123001488:LOC123001488,1248
113261265:gene-ABCC10:ABCC10,5238
113261266:gene-DLK2:DLK2,1362
113261263:gene-TJAP1:TJAP1,4294
113261262:gene-LRRC73:LRRC73,1286
113261261:gene-YIPF3:YIPF3,1556
113261260:gene-POLR1C:POLR1C,1758
113261259:gene-XPO5:XPO5,5403
113261257:gene-POLH:POLH,4497
113261256:gene-GTPBP2:GTPBP2,8431
113261255:gene-MAD2L1BP:MAD2L1BP,3248
113261253:gene-RSPH9:RSPH9,896
113261254:gene-MRPS18A:MRPS18A,857
130542000:gene-LOC130542000:LOC130542000,2583
113261040:gene-VEGFA:VEGFA,3266
130542018:gene-LOC130542018:LOC130542018,519
113261251:gene-MRPL14:MRPL14,4060
113261250:gene-TMEM63B:TMEM63B,3399
113261249:gene-CAPN11:CAPN11,2100
123001473:gene-LOC123001473:LOC123001473,2038
113261380:gene-LOC113261380:LOC113261380,104
113261024:gene-MYMX:MYMX,881
113261248:gene-SLC29A1:SLC29A1,3216
130542015:gene-LOC130542015:LOC130542015,3387
113261246:gene-HSP90AB1:HSP90AB1,2733
113261247:gene-SLC35B2:SLC35B2,2131
113261039:gene-NFKBIE:NFKBIE,2356
123001486:gene-LOC123001486:LOC123001486,679
113261245:gene-TMEM151B:TMEM151B,4814
113261023:gene-TCTE1:TCTE1,1618
113261244:gene-AARS2:AARS2,3444
113261385:gene-LOC113261385:LOC113261385,104
113261038:gene-SPATS1:SPATS1,685
113261243:gene-CDC5L:CDC5L,3037
113261241:gene-SUPT3H:SUPT3H,6867
113261240:gene-RUNX2:RUNX2,5781
130542010:gene-LOC130542010:LOC130542010,583
113261239:gene-CLIC5:CLIC5,10527
113261383:gene-LOC113261383:LOC113261383,103
113261238:gene-ENPP4:ENPP4,4712
113261237:gene-ENPP5:ENPP5,3898
113261236:gene-RCAN2:RCAN2,3669
113261328:nbis-pseudogene-1735:LOC113261328,1739
113261234:gene-LOC113261234:LOC113261234,5758
113261384:gene-LOC113261384:LOC113261384,104
113261235:gene-SLC25A27:SLC25A27,3354
113261231:gene-TDRD6:TDRD6,6919
113261232:gene-PLA2G7:PLA2G7,4435
113261022:gene-ANKRD66:ANKRD66,1412
113261230:gene-MEP1A:MEP1A,2897
113261229:gene-ADGRF5:ADGRF5,9471
113261228:gene-ADGRF1:ADGRF1,3299
130542011:gene-LOC130542011:LOC130542011,2777
113261226:gene-TNFRSF21:TNFRSF21,3601
113261223:gene-CD2AP:CD2AP,6611
123001485:nbis-pseudogene-2912:LOC123001485,373
113261225:nbis-pseudogene-1732:LOC113261225,1291
113261037:gene-LOC113261037:LOC113261037,3135
113261222:gene-LOC113261222:LOC113261222,3109
113261221:gene-OPN5:OPN5,1062
113261366:gene-LOC113261366:LOC113261366,107
113261220:gene-PTCHD4:PTCHD4,7063
113261210:gene-MMUT:MMUT,17632
113261211:gene-CENPQ:CENPQ,2559
113261212:gene-GLYATL3:GLYATL3,855
113261209:gene-CUNH6orf141:CUNH6orf141,3874
113261365:gene-LOC113261365:LOC113261365,1540
113261208:gene-RHAG:RHAG,1640
113261021:nbis-pseudogene-1722:LOC113261021,929
113261020:gene-LOC113261020:LOC113261020,824
113261019:gene-LOC113261019:LOC113261019,867
113261018:gene-PGK2:PGK2,1254
113261364:gene-CRISP1:CRISP1,759
113261017:gene-DEFB114:DEFB114,204
113261016:gene-DEFB113:DEFB113,249
113261014:gene-LOC113261014:LOC113261014,153
113261013:gene-LOC113261013:LOC113261013,204
113261363:gene-DEFB112:DEFB112,264
113261206:nbis-pseudogene-1731:LOC113261206,1359
113261391:gene-LOC113261391:LOC113261391,129
113261205:gene-TFAP2D:TFAP2D,1359
113261204:gene-TFAP2B:TFAP2B,2434
113261199:gene-PKHD1:PKHD1,15782
113261201:nbis-pseudogene-1730:LOC113261201,2856
113261362:gene-IL17A:IL17A,510
113261197:gene-IL17F:IL17F,1076
113261196:gene-MCM3:MCM3,3213
113261194:gene-PAQR8:PAQR8,4453
113261191:gene-EFHC1:EFHC1,2350
113261193:gene-TRAM2:TRAM2,6499
113261189:gene-TMEM14A:TMEM14A,1844
113261187:gene-LOC113261187:LOC113261187,1938
113261186:gene-GSTA1:GSTA1,447
113261185:gene-LOC113261185:LOC113261185,1002
113261183:gene-LOC113261183:LOC113261183,1257
113261361:nbis-pseudogene-1752:LOC113261361,4760
113261182:gene-CILK1:CILK1,6257
130542016:gene-LOC130542016:LOC130542016,250
113261180:gene-FBXO9:FBXO9,2608
130542017:gene-LOC130542017:LOC130542017,2004
113261378:nbis-pseudogene-1753:LOC113261378,101
113261179:gene-GCM1:GCM1,2258
113261178:gene-ELOVL5:ELOVL5,16055
113261390:gene-LOC113261390:LOC113261390,136
113261360:nbis-pseudogene-1751:LOC113261360,1237
113261012:nbis-pseudogene-1721:LOC113261012,1344
113261177:gene-GCLC:GCLC,3830
113261176:gene-KLHL31:KLHL31,4457
113261175:gene-LRRC1:LRRC1,2834
125282822:nbis-pseudogene-3229:LOC125282822,973
113261174:gene-MLIP:MLIP,4560
113261172:gene-TINAG:TINAG,2117
130541991:gene-LOC130541991:LOC130541991,330
113261374:gene-LOC113261374:LOC113261374,102
130542009:gene-LOC130542009:LOC130542009,417
113261171:gene-FAM83B:FAM83B,5573
113261369:gene-LOC113261369:LOC113261369,107
113261358:nbis-pseudogene-1750:LOC113261358,306
113261372:gene-LOC113261372:LOC113261372,103
113261170:gene-HCRTR2:HCRTR2,1335
113261169:gene-GFRAL:GFRAL,1342
113261167:gene-HMGCLL1:HMGCLL1,9232
113261168:gene-LOC113261168:LOC113261168,9033
113261166:gene-BMP5:BMP5,3848
125282821:nbis-pseudogene-3228:LOC125282821,583
130542008:gene-LOC130542008:LOC130542008,23713
113261163:gene-COL21A1:COL21A1,4679
130542007:gene-LOC130542007:LOC130542007,6870
113261161:gene-LOC113261161:LOC113261161,
